# mpl-nrb : v.20150816.1315/Linux - MPL4/SCO: dowloaded from MPLNET
Date Time aod
2020-05-22 13:46:29 0.07053314	
2020-05-22 13:47:30 0.07220733	
2020-05-22 13:48:29 0.07298029	
2020-05-22 13:49:30 0.07297216	
2020-05-22 13:50:29 0.072266944	
2020-05-22 13:51:30 0.07098045	
2020-05-22 13:52:30 0.06991869	
2020-05-22 13:53:29 0.07129348	
2020-05-22 13:54:30 0.07293254	
2020-05-22 13:55:29 0.07241077	
2020-05-22 13:56:30 0.07314416	
2020-05-22 13:57:29 0.07247906	
2020-05-22 13:58:30 0.07266707	
2020-05-22 13:59:29 0.072784565	
2020-05-22 14:00:30 0.074312285	
2020-05-22 14:01:30 0.07296072	
2020-05-22 14:02:29 0.070664115	
2020-05-22 14:03:30 0.06744118	
2020-05-22 14:04:29 0.065200545	
2020-05-22 14:05:30 0.064785294	
2020-05-22 14:06:29 0.0648291	
2020-05-22 14:07:30 0.06732111	
2020-05-22 14:08:29 0.069754	
2020-05-22 14:09:30 0.071832	
2020-05-22 14:10:30 0.073136136	
2020-05-22 14:11:29 0.07483023	
2020-05-22 14:12:30 0.07754318	
2020-05-22 14:13:29 0.07983433	
2020-05-22 14:14:30 0.078801	
2020-05-22 14:15:29 0.075812794	
2020-05-22 14:16:30 0.07246345	
2020-05-22 14:17:29 0.07156772	
2020-05-22 14:18:30 0.071366675	
2020-05-22 14:19:30 0.07214628	
2020-05-22 14:20:29 0.07249992	
2020-05-22 14:21:30 0.07174258	
2020-05-22 14:22:29 0.07170583	
2020-05-22 14:23:30 0.071246035	
2020-05-22 14:24:29 0.073603585	
2020-05-22 14:25:30 0.07277731	
2020-05-22 14:26:29 0.07196733	
2020-05-22 14:27:30 0.071974434	
2020-05-22 14:28:30 0.07128578	
2020-05-22 14:29:29 0.072466545	
2020-05-22 14:30:30 0.073095754	
2020-05-22 14:31:29 0.07410953	
2020-05-22 14:32:30 0.07410438	
2020-05-22 14:33:29 0.07327224	
2020-05-22 14:34:30 0.07331262	
2020-05-22 14:35:29 0.072678804	
2020-05-22 14:36:30 0.073249094	
2020-05-22 14:37:30 0.0735578	
2020-05-22 14:38:29 0.072967455	
2020-05-22 14:39:30 0.07207174	
2020-05-22 14:40:29 0.0718196	
2020-05-22 14:41:30 0.071823746	
2020-05-22 14:42:29 0.0723666	
2020-05-22 14:43:30 0.07324407	
2020-05-22 14:44:29 0.07301325	
2020-05-22 14:45:30 0.07281307	
2020-05-22 14:46:30 0.07292046	
2020-05-22 14:47:29 0.07338424	
2020-05-22 14:48:30 0.07447589	
2020-05-22 14:49:29 0.07483446	
2020-05-22 14:50:30 0.074234225	
2020-05-22 14:51:29 0.0723837	
2020-05-22 14:52:30 0.07204079	
2020-05-22 14:53:29 0.07230967	
2020-05-22 14:54:30 0.07192332	
2020-05-22 14:55:30 0.07165178	
2020-05-22 14:56:29 0.0728899	
2020-05-22 14:57:30 0.07348828	
2020-05-22 14:58:29 0.07284852	
2020-05-22 14:59:30 0.07332754	
2020-05-22 15:00:29 0.074236296	
2020-05-22 15:01:30 0.07560832	
2020-05-22 15:02:29 0.07476111	
2020-05-22 15:03:30 0.073768266	
2020-05-22 15:04:30 0.07490095	
2020-05-22 15:05:29 0.07802012	
2020-05-22 15:06:30 0.0801905	
2020-05-22 15:07:29 0.08182982	
2020-05-22 15:08:30 0.08284915	
2020-05-22 15:09:29 0.08327298	
2020-05-22 15:10:30 0.08357163	
2020-05-22 15:11:29 0.08410468	
2020-05-22 15:12:30 0.084152654	
2020-05-22 15:13:30 0.082055345	
2020-05-22 15:14:29 0.08128582	
2020-05-22 15:15:30 0.078643195	
2020-05-22 15:16:29 0.07621368	
2020-05-22 15:17:30 0.074908555	
2020-05-22 15:18:29 0.075093634	
2020-05-22 15:19:30 0.075416625	
2020-05-22 15:20:29 0.07502394	
2020-05-22 15:21:30 0.074868314	
2020-05-22 15:22:30 0.07438234	
2020-05-22 15:23:29 0.075883724	
2020-05-22 15:24:30 0.07679927	
2020-05-22 15:25:29 0.07646763	
2020-05-22 15:26:30 0.077313855	
2020-05-22 15:27:29 0.076540716	
2020-05-22 15:28:30 0.07859117	
2020-05-22 15:29:29 0.07750354	
2020-05-22 15:30:30 0.076655634	
2020-05-22 15:31:30 0.076728	
2020-05-22 15:32:29 0.07718377	
2020-05-22 15:33:30 0.07664914	
2020-05-22 15:34:29 0.07707594	
